
ԱԳՐԵՍԻԱ	 մեկ կամ մի քանի երկրների զինված հարձակում այլ երկրի կամ երկրների վրա նվաճողական նպատակներով: 
ԹԵԹԵՎԱԶԵՆ Հ.	 թեթև զինված զինվորներից կազմված հեծելազորի տեսակ: Հին աշխարհի բանակներում ի հայտ է եկել անկանոն հեծելազորի տեսքով: 
ԾԱՆՐԱԶԵՆ Հ.	 ծանր զինված զինվորներից կազմված հեծելազորի տեսակ: Որպես առանձին տեսակ լայն կիրառում է գտել Հին Մակեդոնիայի բանակում (Ք.ա. IV դ.): Հրազենի տարածմանը զուգահեռ Ծ.Հ. կորցրել է իր նշանակությունը:
ՀԵՆԱԴԱՇՏ (ՌԱԶՄԱՀԵՆԱԴԱՇՏ)	 մարտական գործողությունների ընթացքում զորքերի կողմից զավթված և պահվող տեղանքի հատված, հետագա մարտական խնդիրների կատարումն ապահովելու նպատակով: Հայոց ռազմարվեստում Հ. ստեղծումը հազարամյակների պատմություն ունի, սակայն առավել լայնորեն կիրառվել է XII-XIIIդդ.: Հ. ստեղծումով հաջողության զարգացման ռազմավարությամբ հայոց ռազմարվեստում աչքի են ընկել Վահան Մամիկոնյանը, Աբաս Բագրատունին, Վահրամ Պահլավունին և Զաքարիա Զաքարյանը:
ՀԵՆԱԿԵՏ	 1. Ռազմական պաշտպանական գործողությունների ծավալման համար նպաստավոր տեղ, դիրք, ամրություն: 2. Ժամանակակից պաշտպանական մարտում դասակի և վաշտի կողմից զբաղեցվող տարածքը: Դասակի Հ-ն ներառում է ջոկերի դիրքերը, ՀՄՄների (զրահափոխադրիչների), ինչպես նաև Հ-ում տեղաբաշխված ու ավագ հրամանատարի պլանով խնդիրները կատարող այլ կրակային միջոցների կրակային դիրքերը: Վաշտի Հ-ը ներառում է նաև դասակների Հ-երը:
ՀԵՌԱԴԻՏԱԿ	 հոդակապով միմյանց միացված զուգահեռ դիտափողերից կազմված օպտիկական սարք: Ռազմական գործում կիրառվում է մարտի դաշտը դիտարկելու, նշանակետերը հետախուզելու, անկյունները չափելու և հեռավորությունները որոշելու համար: 
ՀԵՏ ՔԱՇՎԵԼԸ (ՆԱՀԱՆՋ ՆԱԽՕՐՈՔ ՊԱՏՐԱՍՏՎԱԾ ԲՆԱԳԻԾ)	 գերակշռող հակառակորդի հարվածի տակից զորքերի կողմից զբաղեցված բնագծերի (շրջանների) հարկադրյալ կամ կանխամտածված լքումը և նրանց հետբերումը ավելի նպաստավոր դիրք հետագա գործողությունների համար:
ՀԵՏԱԳԻԾ	 թռիչքի ընթացքում գնդակի (նետի կամ այլ նետվող գործիքի) ծանրության կենտրոնի կազմած կոր գիծը: Վերազանցման անկյան մեծության հետ մեծանում են Հ. բարձրությունը և հորիզոնական հեռավորությունը, սակայն դա կատարվում է մինչև որոշակի սահման: Այս սահմանից հետո Հ. շարունակում է մեծանալ, իսկ հեռավորությունը՝ փոքրանում է:
ԳԵՏՆԱՄԵՐՁ Հ.	 առավելագույն հեռավորության անկյունից փոքր վերազանցման անկյուն ունեցող Հ.: Հ. գետնամերձությունն ազդում է ուղիղ կրակոցի, խոցվող ծածկված և մեռյալ տարածքների հեռավորության մեծության վրա: 
ԳԱԳԱԹՆԱՀԱՐ Հ.	 առավելագույն հեռավորության անկյունից մեծ վերազանցման անկյուն ունեցող Հ.:
ԼԾՈՐԴՎԱԾ Հ.	 տարբեր վերազանցման անկյունների դեպքում նույն հորիզոնական հեռավորությունն ունեցող Հ.: 
ՀԵՏԱԽՈՒԶԱԿԱՆ ԴԱՐԱՆ	 հետախուզության ձև: Կատարում է հետախուզական դետքը`գերիներ, հակառակորդի փաստաթղթեր, սպառազինության ու տեխնիկայի նմուշներ վերցնելու նպատակով: Դրա էությունն այն է, որ խմբի ստորաբաժանումը նախօրոք ու թաքուն տեղաբաշխվում է հակառակորդի շարժման սպասվող կամ հավանական ուղիներում` նրա վրա հանկարծակի հարձակվելու համար:
ՀԵՏԱԽՈՒԶԱԿԱՆ ԽՈՒՄԲ (ՋՈԿԱՏ)	 ստեղծվում է զորային հետախուզության ստորաբաժանման հատուկ նախապատրաստված անձնակազմից: Նախատեսված է հակառակորդի թիկունքում օբյեկտներ բացահայտելու համար:
ՀԵՏԱԽՈՒԶՈՒԹՅՈՒՆ	 զորքերի գործողությունների մարտական ապահովման կարևորագույն տեսակ: Կազմակերպվում է հակառակորդի և տեղանքի մասին տեղեկություններ հավաքելու համար: Հ. դերի բարձրացմանը զուգընթաց բարձրանում են նաև դրան ներկայացվող պահանջները, որոնցից հիմնականներն են. նպատակասլացությունը, անընդհատությունը, ակտիվությունը, ճիշտ ժամանակին լինելն ու օպերատիվությունը, գաղտնիությունը, կոորդինատները որոշելու ճշգրտությունը: Տվյալները հայթայթվում են տարբեր ձևերով: Դրանցից հիմնականներն են դիտարկումը, գաղտնալսումը, հետախուզական դարաններն ու հարձակումները, տեղացի բնակիչների հարցումներն ու գերի փախստականների հարցաքննությունները, հակառակորդից բռնագրավված փաստաթղթերի ուսումնասիրությունը:
ՀԵՏԱԽՈՒԶՈՒԹՅՈՒՆ ՄԱՐՏՈՎ	 1. հետախուզության ձև, 2. հատուկ առանձնացված ստորաբաժանումների կողմից հակառակորդի մասին տվյալների հայթայթում: Մարտով հետախուզությունը կատարվում է այն դեպքում, երբ հետախուզության մյուս եղանակները չեն կարող հրամանատարությանն ապահովել հակառակորդի մասին անհրաժեշտ տվյալներով, կամ երբ չկա դրանք այլ եղանակներով ձեռք բերելու հնարավորություն: Երկրորդ աշխարհամարտի ընթացքում մարտով կատարվող հետախուզությունը լայն կիրառություն է գտել և, որպես կանոն, տվել է դրական արդյունքներ:
ՀԵՏԱԽՈՒՅԶ	 գործող և հավանական հակառակորդի մասին տվյալներ հայթայթող, ուսումնասիրող և ընդհանրացնող անձ: 
ՀԵՏԱՊՆԴՈՒՄ	 հարձակողական մարտի տարատեսակներից է: Իրականացվում է հակառակորդի պաշտպանության խորքում՝ նահանջող հակառակորդի վրա հարձակվելիս: 
ՀԵՏՄՂՈՒՄ	 կրակոցի ժամանակ զենքի (փողի) շարժումը դեպի հետ: 
ՀԵՏԵՎԱԿ (ՀԵՏԵՎԱԶՈՐ)	 ցամաքային զորքերի տեսակ: Նախատեսված է մարտում հակառակորդին ջախջախելու և նրա տարածքը գրավելու համար: Մարտ է մղում օրվա բոլոր ժամերին, տարվա բոլոր եղանակներին, ամենատարբեր տեղանքում: Ամենահին զորատեսակն է, որը հասարակության զարգացմանը զուգընթաց զգալի փոփոխություններ է կրել: Հին աշխարհում (Եգիպտոս, Հունաստան, Հռոմ ևն) Հ. եղել է գլխավոր զորատեսակ: Միջին դարերում Հ. նշանակությունը նվազել է: Տարբերվում էր ծանր և թեթև Հ:
ԹԵԹԵՎԱԶԵՆ Հ.	 թեթև զինված զինվորներից կազմված հետևակի տեսակ: Նախատեսված էր մարտը սկսելու, մարտի ընթացքում հիմնական ուժերի թևերը և թիկունքը պաշտպանելու, հետախուզություն վարելու և այլ խնդիրներ կատարելու համար: Հին աշխարհում կազմված էր նետաձիգներից, պարսատիկավորներից ևն: XVIII-XIXդդ. ԹՀ համարվում էին եգերները:
ԾԱՆՐԱԶԵՆ Հ.	 հետևակի տարատեսակ: Նախատեսված է մարտում (ճակատամարտում) հակառակորդին վճռական հարված հասցնելու համար: Գոյություն է ունեցել Հին աշխարհի երկրներում: Ի տարբերություն թեթև հետևակի` այն գործել է խիտ սեղմված շարքերով:
ՀԵՏԵՎԱԿԻ ՄԱՐՏԱԿԱՆ ՄԵՔԵՆԱ (ՀՄՄ)	 հետևակը տեղափոխելու և մարտի դաշտում իր սպառազինությամբ աջակցելու համար նախատեսված հզոր սպառազինությամբ, թրթուրավոր (անվավոր), զրահավորված, բարձր շարժունակությամբ օժտված, լողացող մարտական մեքենա: Այն հնարավորություն է տալիս հիմնականում գետնի վրա կռվող հետևակը մեքենայից կռվողի ձևափոխելու համար: Առաջին ՀՄՄ-ն սպառազինության մեջ ընդունվել է 1966թ. ԽՍՀՄ-ում:
ՀԵՔՍՈԳԵՆ	 բրիզանտային պայթուցիկ նյութ: Անգույն բյուրեղանման փոշի: Կիրառվում է զինամթերքները հանդերձավորելու, դետոնատորներ պատրաստելու և պայթեցման գործում: Առաջին անգամ ստացվել է 1838թ.:
«ՀՈԳԵԲԱՆԱԿԱՆ» ԳՐՈՀ	 պաշտպանվող հակառակորդին սարսափեցնելու (վախեցնելու), նրա հոգեվիճակը կտրուկ և խիստ ապակայունացնելու, դիմադրելու կամքը ճնշելու նպատակով իրականացվող գրոհ: Ներառում է արտաքին էֆեկտի տարրեր, նոր զինատեսակների անակնկալ կիրառում ևն: 
ՀՈՂԱԹՈՒՄԲ (ՀՈՂԱՊԱՏՆԵՇ	 ԲՐՈՒՍՏՎԵՐ), հողային լիցք խրամատի կամ խրամուղու առջև, որը ծառայում է հրազենից կրակելու հարմարավետությունը, հրաձիգներին հրաձգային զենքերի գնդակներից, բեկորներից պաշտպանելու և հակառակորդի դիտարկումն ապահովելու համար:
ՀՈՊԼԻՏՆԵՐ	 Հին հունական քաղաք-պետությունների բանակների հիմքը կազմող զինվորներ: Սպառազինված էին երկար ծանր նիզակներով, կարճ սրով և լրիվ մետաղական պաշտպանական հանդերձանքով (սաղավարտ, վահան, զրահ, սռնապաններ): Մարտնչում էին փաղանգի մարտակարգում (շարքում):
ՀՐԱԶԵՆ (ՀՐԱՁԳԱՅԻՆ ԶԵՆՔ)	 զենք, որում փողից գնդակի (արկի) դուրս նետումը կատարվում է վառոդի գազերի էներգիայի օգտագործմամբ: 
ՓՈՔՐ (ՆՈՐՄԱԼ	 ԽՈՇՈՐ) ՏՐԱՄԱՉԱՓԻ Հ., փողի տրամաչափը կազմում է համապատասխանաբար` մինչև 6,5 մմ, 6,5-9 մմ և 9-15 մմ: 
ՈՒՍՈՒՄՆԱԿԱՆ Հ.	 նախատեսված է հրազենի նյութական մասի, հրաձգության եղանակներն ու կանոններն ուսումնասիրելու համար: 
ԱՆՀԱՏԱԿԱՆ Հ.	 հրաձգության ժամանակ պահվում են անմիջականորեն հրաձիգի կողմից, նախատեսված են մոտ հեռավորության վրա հակառակորդին խոցելու համար: 
ԱՆՁՆԱԿԱՆ Հ.	 ատրճանակներ, որոնք նախատեսված են մերձամարտի և ինքնապաշտպանության համար: 
ԱՎՏՈՄԱՏ (ԻՆՔՆԱՁԻԳ) Հ.	 վերալիցքավորումը և հերթական կրակոցն իրականացվում է ավտոմատ՝ ի հաշիվ վառոդային գազերի էներգիայի:
ՀԵՏՄՂՄԱՆ ՈՒԺԻ ՕԳՏԱԳՈՐԾՄԱՆ ՍԿԶԲՈՒՆՔՈՎ ԳՈՐԾՈՂ Հ.	 ավտոմատիկան աշխատում է կրակոցի ժամանակ փողի կարճ ընթացքով կամ ազատ փակաղակի հետմղման էներգիայի օգտագործման սկզբունքով: 
ԽՄԲԱԿԱՅԻՆ Հ.	 անձնակազմի (հաշվարկի) կողմից սպասարկվող Հ.: Նախատեսված են հիմնականում մեծ հեռավորության վրա հակառակորդին խոցելու համար:
ՈՉ ԱՎՏՈՄԱՏ Հ.	 վերալիցքավորումը կատարվում է հրաձիգի ջանքով: Լինում են միալիցք, պահեստատուփով և թմբուկավոր (ռևոլվերներ, սպորտային հրացաններ և այլն): 
Հ. ՄԱՐՏԱԿԱՆ ԱՐԱԳԱՁԳՈՒԹՅՈՒՆ	 կրակ, որը կատարվում է մեկ րոպեում` հստակ պահպանելով կրակի վարման օրենքները և հիմունքները, հաշվի առնելով զենքի վերալիցքավորման ժամանակը, կրակի կարգավորումը և կրակի տեղափոխումը մեկ նպատակից մյուսի վրա:
Հ. ՏԵԽՆԻԿԱԿԱՆ ԱՐԱԳԱՁԳՈՒԹՅՈՒՆ (ԿՐԱԿԻ ՏԵՄՊ)	 ավտոմատ հրազենից արձակված անընդմեջ կրակ, որը նշած զինատեսակը կարող է տալ միավոր ժամանակում:
ՀՐԱԿՆԱՏ	 բաց (երբեմն կափարիչով ծածկվող) նեղ ճեղք պաշտպանական կառույցներում, խրամուղու հողաթմբի, զրահամեքենաների, զրահավահանի, ամրոցի պատի վրա կրակի վարման և դիտարկման համար:
ՀՐԱՁԳԱՅԻՆ ՇՂԹԱ	 ջոկի, հրաձգային (մոտոհրաձգային) դասակի և վաշտի մարտակարգ, որտեղ զինծառայողները տեղավորված են ըստ ճակատի մեկ գծով (Առաջին համաշխարհային պատերազմի տարիներին` մոտ 1 մ, մեր օրերում` 6-8 մ միջտարածությամբ): 
ՀՐԱՁԳՈՒԹՅՈՒՆ ՈՒՂԻՂ ՆՇԱՆԱՌՈՒԹՅԱՄԲ	 վարվում է բաց կրակային դիրքերից, երբ հրանոթը (զենքը) անմիջականորեն ուղղվում է նշանակետի վրա:
ՀՐԱՁԳՈՒԹՅՈՒՆ ՓԱԿ ԿՐԱԿԱԴԻՐՔԻՑ	 հրետանու հրաձգություն կրակային դիրքից չդիտարկվող նշանակետերի վրա, որի դեպքում հրանոթը նշանակետի վրա ուղղվում է. հորիզոնական հարթությունում՝ ուղղորդման կետի օգնությամբ, ուղղաձիգ հարթությունում՝ կողային մակարդակի օգնությամբ: 
ՀՐԱՄԱՆ	 ենթականերին ուղղված հրամանատարի գրավոր կամ բանավոր կարգադրություն, որը պահանջում է կոնկրետ գործողությունների, այս կամ այն կանոնի կատարում կամ հրամանատարի կողմից հաստատագրված կարգ, դրություն:
ՀՐԱՄԱՆԱՏԱՐԱԿԱՆ ԿԵՏ (ՎՐԱՆ)	 մարտադաշտին (տեղաբաշխման ժամանակ՝ սեփական զորքին) հետևելու համար հարմար վայր, որտեղ գտնվելով՝ հրամանատարն արդյունավետորեն կազմակերպում է զորքի կենսագործունեությունը:
ՀՐԱՆԵՏ	 զենք, որը նախատեսված է հակառակորդին այրվող հրախառնուրդով խոցելու համար: Հրանետը լինում է ձեռքի, ինքնագնաց և տանկային:
ՀՐԱՆՈԹ	 հրետանային հրազենի ընդհանուր անվանումը: 
ՀՐԱՑԱՆ	 մենահատ կրակով հակառակորդին ոչնչացնելու համար նախատեսված հրազեն, որը մեր օրերում գրեթե ամբողջությամբ փոխարինվել է ավտոմատներով: 
ԲԵՐԴԱՆԻ Հ.	 ռուսական բանակում XIX դ. վերջին սպառազինության մեջ գտնված ամերիկացի Խ. Բերդանի հրացանի ժողովրդական անունը: Լայնորեն կիրառվել է XIX դ. հայդուկային ջոկատների կողմից: 
ՄԱՈՒԶԵՐԻ Հ.	 գերմանացի տաղանդավոր զինագործ Պ.Մաուզերի հրացանների (նույն կերպ` ատրճանակների) ժողովրդական անունը: XX դ. սկզբին ՄՀ-ներով էին սպառազինված շուրջ երկու տասնյակ պետությունների բանակներ: ՄՀ-ով էին զինվում համիդիե գնդերը դեռևս 1894-96թթ. հայկական ջարդերի ժամանակ: Այն Առաջին համաշխարհային պատերազմում թուրքական բանակի ասկյարների հիմնական հրազենն էր: Նրանցից խլած ՄՀ-ով զինվում էին նաև հայկական ինքնապաշտպանական ջոկատները:
ՄՈՍԻՆԻ Հ.	 պաշտոնական գրագրություններում «1891թ. օրինակի հետևակային հրացան»: Ռուսական և մի շարք այլ պետությունների բանակներում սպառազինության վերցված հրացանների ժողովրդական անունը: Լայնորեն կիրառվել է XIX դ. վերջին և XX դ. սկզբին հայդուկային ջոկատների կողմից: 
ՀՐԵՏԱԿՈԾՈՒԹՅՈՒՆ	 հրետանային կրակի ենթարկում: 
ՀՐԵՏԱՆԱՅԻՆ ԶԵՆՔ (ՀՐԵՏԱՆԻ)	 հրազենի տեսակ, զանազան կառուցվածք ու տրամաչափ ունեցող հրանոթների ընդհանուր անվանումը: ՀԶ նախատեսված է հակառակորդի հրետանու, զրահապատ և թռչող մարտական միջոցների դեմ պայքարի, կենդանի ուժի և կրակային միջոցների ոչնչացման ու ճնշման, մարտական այլ խնդիրներ կատարելու համար: Հրետանային զենքը լինում է վերգետնյա, ավիացիոն, առափնյա և նավային: Ըստ արկին արագության հաղորդման եղանակի տարբերում են փողային և ռեակտիվ, իսկ ըստ փողանցքի կառուցվածքի՝ ակոսավոր և հարթափող հրետանային զենքեր: Ըստ տեղաշարժման եղանակի լինում են բուքսիրային, ինքնաշարժ (շարժիչով սարքավորված), ինքնագնաց (թրթուրավոր կամ անվավոր անվաշրջանակով), տանկային և այլ ՀԶ: Դրանց տեսակներից են թնդանոթը, հաուբիցը, ականանետը, անհետգլորք հրանոթը, ռեակտիվ համակարգերը:
ՓՈՔՐ (ՄԻՋԻՆ	 ԽՈՇՈՐ) ՏՐԱՄԱՉԱՓԻ ՀԶ, հրանոթ, որի փողի տրամաչափը կազմում է համապատասխանաբար` 20 մմ-ից մինչև 76 մմ, 76 մմ-ից մինչև 152 մմ և ավելի քան 152 մմ: 
ՀՐԵՏԱՆԱՅԻՆ ԽՈՒՄԲ	 մի քանի հրետանային ստորաբաժանումներից (զորամասերից, միավորումներից) կազմված միասնական հրամանատարությամբ ժամանակավոր կազմավորում, որը հատկացվում է մարտի ժամանակ համազորային զորամասի (զորամիավորման, միավորման) շահերից ելնելով առաջադրանք կատարելու համար:
ՀՐԵՏԱՆԱՅԻՆ ԿՐԱԿԻ ՏԵՍԱԿՆԵՐ	 հրետանու կրակի դասակարգումն ըստ ներգրավվող հրետանային միջոցների քանակի: Ըստ լուծվող մարտավարական խնդիրների՝ ոչնչացման, ճնշման, ուժասպառ անելու, ավերման, ծխապատման (կուրացման), լուսավորման և այլն: Ըստ վարման եղանակների՝ ուղիղ նշանառմամբ, փակ կրակային դիրքերից և այլն: Ըստ կրակի տեսակների` առանձին նշանակետի ուղղությամբ վարվող կրակ, անհանգստացնող կրակ, անշարժ արգելափակիչ կրակ, շարժական արգելափակիչ կրակ, զանգվածային կրակ, կենտրոնացված կրակ, կրակի հաջորդական կենտրոնացում, կրակային տարափ, կրակային վրա տալ, խափանիչ կրակ, վազող կրակ: 
ՀՐԵՏԱՆԱՅԻՆ ՀԱՄԱԼԻՐ	 նշանակետերը հրետանային արկերով խոցելու համար նախատեսված սպառազինության համակարգի տեսակ: ՀՀ սպառազինությունը և զինամթերքը միավորում է կրակի ղեկավարման, հրաձգության և հետախուզության ապահովման միջոցներին: 
ՀՐԹԻՌԱՅԻՆ ԶԵՆՔ	 համակարգ, որտեղ ոչնչացման միջոցները նշանակետին են հասցվում կառավարվող կամ չկառավարվող հրթիռներով. ներառում է միջուկային կամ սովորական լիցքով հրթիռ, արձակման կայանք, ստուգման-արձակման սարքավորումներ, նշանառության, հրթիռի թռիչքի կառավարման, տրանսպորտային և այլ միջոցներ: 
ՌԱԶՄԱՎԱՐԱԿԱՆ ՀԶ	 նախատեսված է հակառակորդի կարևոր ռազմավարական օբյեկտներ (միջուկային հարձակման միջոցներ, վարչաքաղաքական և ռազմարդյունաբերական կենտրոններ, զորքերի խոշոր խմբավորումներ) ոչնչացնելու համար: 
ՕՊԵՐԱՏԻՎ-ՄԱՐՏԱՎԱՐԱԿԱՆ ՀԶ	 նախատեսված է հակառակորդի օդանավակայաններ, երկաթուղային հանգույցներ, մարտավարման կայաններ և օպերատիվ-մարտավարական գոտում գտնվող այլ օբյեկտներ ոչնչացնելու համար:
ՄԱՐՏԱՎԱՐԱԿԱՆ ՀԶ	 ներառում է արձակման ինքնագնաց տեղակայանքներ, հակատանկային կառավարվող և չկառավարվող հրթիռներ: Ցամաքային զորքերի ՄՀԶ նախատեսված է հակառակորդի մարտավարական գոտում գտնվող օբյեկտները ոչնչացնելու համար:
ՀՐԿԻԶՈՂ ԶԵՆՔ	 հակառակորդի վրա անմիջականորեն հրկիզող նյութերով ազդող և դրանցով հրդեհներ առաջացնող զենք: Ներառում է զինամթերքը (հրահեղուկ խառնուրդը) և նշանակետին հասցնելու միջոցը:
ՀՈՒՆԱԿԱՆ ԿՐԱԿ	 հին հրկիզող խառնուրդ, կիրառվել է ծովամարտերում և ամրոցները պաշարելիս: Հավանաբար կազմված է եղել ազոտից, ծծմբից, նավթից, խեժից և ջրում չհանգչող այլ նյութերից: Նետելու համար օգտագործվել են պղնձյա խողովակներ (նավերի վրա), ձեռքի սիֆոններ, «բոցավառ եղջյուրներ», ինչպես նաև նետող մեքենաներից նետվող տակառներ և կավե կճուճներ: Հույների կողմից Հ.Կ-ի կիրառման մասին առաջին հիշատակումները պատկանում են 673թ., վերջինները՝ 1453թ.: 
ՁԱԳԱՐ	 ռումբի կամ արկի պայթելուց գետնի մեջ բացված կոնաձև փոս: 
ՁԳԱԲԱՆՈՒԹՅՈՒՆ (ԲԱԼԻՍՏԻԿԱ)	 նետված մարմնի (գնդակ, արկ, ական ևն) շարժումն ուսումնասիրող գիտություն: 
ՁԵՌՆԱՄԱՐՏ	 ձեռնակռիվ, սվինամարտ: 
ՁԵՌՔԻ ԳՆԴԱՑԻՐ	 հրաձգության ժամանակ հրաձիգի կողմից պահվող Գ.: Հիմնականում մշակվում են ավտոմատների հիմքի վրա և ավտոմատներից տարբերվում են հենակների առկայությամբ, երկարատև հրաձգության համար նախատեսված ծանր փողով և տարողունակ փամփշտատուփով: Առաջին նմուշներից առավել արդյունավետն ու տարածվածը անգլիական «Լյուիսի» ՁԳ-ն էր (1915թ.):
ՁԵՌՔԻ ՆՌՆԱԿ	 նախատեսված են մերձամարտ վարելու համար: ՁՆ լինում են՝ մարտական (բեկորային կամ հակատանկային) և աջակցող: 
ԲԵԿՈՐԱՅԻՆ ՁՆ	 նախատեսված են մերձամարտում պայթած նռնակի բեկորներով հակառակորդի կենդանի ուժը և կրակամիջոցները ոչնչացնելու համար: 
ՀԱԿԱՏԱՆԿԱՅԻՆ ՁՆ	 նախատեսված են մերձամարտում պայթած նռնակի էներգիայի շնորհիվ հակառակորդի զրահատեխնիկան և ամրաշինական կառույցներում գտնվող կենդանի ուժը ոչնչացնելու համար:
ԾԽԱՏՈՒ ՁՆ	 նախատեսված են ծխաքողարկում ստեղծելու, ավիացիային ու հրետանուն ազդանշաններ հաղորդելու համար:
ՀՐԿԻԶՈՂ ՁՆ	 նախատեսված են հրդեհի օջախներ առաջացնելու համար: 
ՈՒՍՈՒՄՆԱԿԱՆ ՁՆ	 նախատեսված են առանց մարտական նռնակները ծախսելու անձնակազմին նռնականետում ուսուցանելու համար: 
ՁԵՌՔԻ ՆՌՆԱԿԱՆԵՏ	 հրաձիգի ուսից, ձեռքից կամ հենակից նռնակ նետող զենք: 
ՁԻԱՎՈՐՆԵՐ	 ձիավորք, ձիավարժք, հեծելվորք, ասպետք, մանր ու միջին ազնվականների դաս Կիլիկյան Հայաստանում: Հասարակական-տնտեսական վիճակով գտնվել են ավատապետական սանդուղքի երրորդ աստիճանում: Համապատասխանում են Արշակունյաց և Բագրատունյաց Հայաստանի ազատների (ոստանիկներ, սեպուհներ) դասին: Հողի գերագույն տերերից՝ թագավորներից և ավատառու բարձրադաս ազնվականներից ստանալով կալվածներ և ռոճիկ (հռոգ), վասալ Ձ. նրանց համար կատարել են զինվորական ծառայություն (գերազանցապես հեծելազորային), վարել գործակալական մանր պաշտոններ: Պարտավորությունները խախտելու դեպքում ավատատերն իրավունք է ունեցել հետ գրավել պայմանով ձիավորին հատկացված կալվածը, դատել նրան: Ըստ «ձիավորեցման հրահանգի», ձիավոր ասպետի աստիճան ստանալու համար Ձ. հրապարակայնորեն քննություն են հանձնել ձիավարժությունից, զինախաղերից: Ձիավորեցման արարողությունները սովորաբար կատարել են նշանավոր իրադարձությունների ու տոնահանդեսների ժամանակ: Ձ. խաղաղ ժամանակներում բնակվել են իրենց հատկացված կալվածքներում, զբաղվել տնտեսությամբ, զինախաղերով: Կրել են կապույտ համազգեստ՝ ոսկեգույն խաչի և հայկական այրուձիի նշաններով:
ՃԱԿԱՏ	 ռազմական միավորի դասավորվածության առջևի գիծը, տարածությունը: 
ՃԱԿԱՏԱՄԱՐՏ	 ռազմական գործողություն, կռիվ: 
ՎՃՌԱԿԱՆ Ճ.	 պատերազմող կողմերի գլխավոր ուժերի վճռական ընդհարումը տեղանքի սահմանափակ շրջանում, որտեղ հակառակորդներից մեկի բանակի ջախջախումով կարող է որոշվել ողջ պատերազմի ելքը:
ՃԱՄԲԱՐ	 զորքերի մշտական տեղակայման վայրից դուրս գտնվող ժամանակավոր կայան:
ՃԱՌԱԳԱՅԹԱՁԵՎ (ՀՈՎՀԱՐԱՁԵՎ) ՀԱՐՁԱԿՈՒՄ	 մեկ կենտրոնից (ռազմավարական բազայից) միաժամանակ մի քանի ուղղություններով իրականացվող հարձակում` հակառակորդին ապակողմնորոշելու և նրա ռեզերվները գլխավոր հարվածների ուղղությամբ կենտրոնացնելու հնարավորություն չտալու նպատակով: Հեռահաղորդակցության միջոցների անկատարության պատճառով զորավարները դժվարանում էին փոխգործողություններ կազմակերպել տարբեր ուղղություններում գործող զորքերի (զորամասերի) միջև, որի պատճառով հին և միջին դարերում հազվադեպ է կիրառվել:
ՃԵՂՔՈՒՄ (ՄԱՐՏԱԿԱՐԳԻ	 ԶՈՐՔԻ ՄԱՐՏԱԿԱՆ ԿԱՄ ԵՐԹԱՅԻՆ ԴԱՍԱՎՈՐՈՒԹՅԱՆ), ճակատի նեղ տեղամասում հակառակորդի պաշտպանության երկփեղկումն է: 
ՄԱՐՏ	 զորքերի, ինչպես նաև օդուժի, նավատորմի ուժերի մարտավարական գործողությունների հիմնական ձևն է: Զորամիավորումների, զորամասերի ու ստորաբաժանումների կազմակերպված և նպատակով, տեղով ու ժամանակով համաձայնեցված հարվածներն է, կրակը (խոցումը) և զորաշարժը՝ հակառակորդին ոչնչացնելու (ջախջախելու), նրա հարվածները հետ մղելու և սահմանափակ շրջանում կարճ ժամանակի ընթացքում այլ խնդիրներ կատարելու նպատակներով: Ժամանակակից Մ. կարող է լինել համազորային, հակաօդային, օդային և ծովային: Մ. երկկողմանի երևույթ է, որտեղ հակամարտում են ուժերի և միջոցների երկու խմբավորումներ միևնույն նպատակով՝ հաղթել հակառակորդին: Մ-ում հաղթանակի հասնելու միջոցներն են զենքը, տեխնիկան ու մարդիկ: Այդ դեպքում զենքի ու տեխնիկայի արդյունավետությունը կախված է մարդու կողմից դրանք գրագետ ձևով կիրառելուց (իրավիճակի բոլոր առանձնահատկությունների հաշվառմամբ):
ՄԱՐՏԱԴԱՇՏ	 տարածք, որի սահմաններում անց են կացվում (վարվել են) մարտական գործողություններ:
ՄԱՐՏԱԿԱՆ ԱՌԱՋԱԴՐԱՆՔ (ԽՆԴԻՐ)	 մարտում նշված ժամկետում որոշակի նպատակի հասնելու համար զորքերին կամ առանձին զինծառայողին տրված առաջադրանք:
ՄԱՐՏԱԿԱՆ ԱՊԱՀՈՎՈՒՄ	 զորքերի մարտական գործողությունների համակողմանի ապահովումն անհրաժեշտ միջոցներով և տվյալներով: Մարտական ապահովման տեսակներն են՝ հետախուզություն, պահպանություն, քիմիական ապահովում, պաշտպանություն զանգվածային խոցման զենքից, ռադիոէլեկտրոնային պաշտպանություն, մարտավարական քողարկում, ինժեներական ապահովում:
ՄԱՐՏԱԿԱՆ ԱՎԱՆԴՈՒՅԹՆԵՐ	 մարտական առաջադրանքների, զինվորական ծառայության հետ կապված` բանակում պատմականորեն ձևավորված և սերնդեսերունդ փոխանցվող կանոնների, ավանդույթների և զինծառայողների վարվելակարգի նորմեր: 
ՄԱՐՏԱԿԱՆ ԳՈՐԾՈՂՈՒԹՅՈՒՆՆԵՐ	 ստորաբաժանումների, զորամասերի, միավորումների, զինված ուժերի բոլոր զորատեսակների միավորման կազմակերպված գործողությունները՝ մարտական առաջադրանքները կատարելու համար: Մարտական գործողությունների հիմնական ձևերն են պաշտպանությունը և հարձակումը: Դրանք վարվում են օպերացիաների, ճակատամարտերի և մարտերի տեսքով:
